date,branch_id,branch_name,sku_id,product_name,category,units_sold,selling_price,promotion,festival,festival_flag,weekend_flag,month,day_of_week,opening_stock,closing_stock,warehouse_stock
2025-01-01,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,New Year,1,0,1,2,81,44,4933
2025-01-02,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,0,1,3,44,152,3455
2025-01-03,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,0,1,4,152,121,2521
2025-01-04,B01,Singanallur,SKU001,Rice 5kg,Grocery,33,340.0,0,,0,1,1,5,121,88,4800
2025-01-05,B01,Singanallur,SKU001,Rice 5kg,Grocery,29,340.0,0,,0,1,1,6,88,59,3582
2025-01-06,B01,Singanallur,SKU001,Rice 5kg,Grocery,32,340.0,0,,0,0,1,0,59,27,4547
2025-01-07,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,0,1,1,27,137,3062
2025-01-08,B01,Singanallur,SKU001,Rice 5kg,Grocery,29,340.0,0,,0,0,1,2,137,108,4399
2025-01-09,B01,Singanallur,SKU001,Rice 5kg,Grocery,50,340.0,0,,0,0,1,3,108,58,3146
2025-01-10,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,0,1,4,58,22,4568
2025-01-11,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,1,1,5,22,153,4863
2025-01-12,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,1,1,6,153,114,4561
2025-01-13,B01,Singanallur,SKU001,Rice 5kg,Grocery,32,340.0,0,,0,0,1,0,114,82,3863
2025-01-14,B01,Singanallur,SKU001,Rice 5kg,Grocery,83,340.0,0,Pongal,1,0,1,1,82,170,3890
2025-01-15,B01,Singanallur,SKU001,Rice 5kg,Grocery,42,340.0,0,,0,0,1,2,170,128,3275
2025-01-16,B01,Singanallur,SKU001,Rice 5kg,Grocery,44,340.0,0,,0,0,1,3,128,84,2534
2025-01-17,B01,Singanallur,SKU001,Rice 5kg,Grocery,33,340.0,0,,0,0,1,4,84,51,3521
2025-01-18,B01,Singanallur,SKU001,Rice 5kg,Grocery,41,340.0,0,,0,1,1,5,51,95,3629
2025-01-19,B01,Singanallur,SKU001,Rice 5kg,Grocery,36,340.0,0,,0,1,1,6,95,59,4949
2025-01-20,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,0,1,0,59,24,4079
2025-01-21,B01,Singanallur,SKU001,Rice 5kg,Grocery,60,320.34,1,,0,0,1,1,24,115,3775
2025-01-22,B01,Singanallur,SKU001,Rice 5kg,Grocery,53,300.06,1,,0,0,1,2,115,62,2837
2025-01-23,B01,Singanallur,SKU001,Rice 5kg,Grocery,55,309.64,1,,0,0,1,3,62,127,3680
2025-01-24,B01,Singanallur,SKU001,Rice 5kg,Grocery,53,291.53,1,,0,0,1,4,127,74,3867
2025-01-25,B01,Singanallur,SKU001,Rice 5kg,Grocery,29,340.0,0,,0,1,1,5,74,45,3662
2025-01-26,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,Republic Day,1,1,1,6,45,171,2891
2025-01-27,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,0,1,0,171,131,4296
2025-01-28,B01,Singanallur,SKU001,Rice 5kg,Grocery,41,340.0,0,,0,0,1,1,131,90,4778
2025-01-29,B01,Singanallur,SKU001,Rice 5kg,Grocery,41,340.0,0,,0,0,1,2,90,49,2700
2025-01-30,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,0,1,3,49,163,3279
2025-01-31,B01,Singanallur,SKU001,Rice 5kg,Grocery,32,340.0,0,,0,0,1,4,163,131,4954
2025-02-01,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,1,2,5,131,93,4251
2025-02-02,B01,Singanallur,SKU001,Rice 5kg,Grocery,46,340.0,0,,0,1,2,6,93,47,4070
2025-02-03,B01,Singanallur,SKU001,Rice 5kg,Grocery,46,340.0,0,,0,0,2,0,47,145,3985
2025-02-04,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,0,2,1,145,105,3002
2025-02-05,B01,Singanallur,SKU001,Rice 5kg,Grocery,42,340.0,0,,0,0,2,2,105,63,2897
2025-02-06,B01,Singanallur,SKU001,Rice 5kg,Grocery,56,340.0,0,,0,0,2,3,63,101,4381
2025-02-07,B01,Singanallur,SKU001,Rice 5kg,Grocery,31,340.0,0,,0,0,2,4,101,70,3984
2025-02-08,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,1,2,5,70,30,3063
2025-02-09,B01,Singanallur,SKU001,Rice 5kg,Grocery,39,340.0,0,,0,1,2,6,30,166,4423
2025-02-10,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,0,2,0,166,131,4178
2025-02-11,B01,Singanallur,SKU001,Rice 5kg,Grocery,40,340.0,0,,0,0,2,1,131,91,3040
2025-02-12,B01,Singanallur,SKU001,Rice 5kg,Grocery,33,340.0,0,,0,0,2,2,91,58,4097
2025-02-13,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,2,3,58,24,3295
2025-02-14,B01,Singanallur,SKU001,Rice 5kg,Grocery,33,340.0,0,,0,0,2,4,24,100,4481
2025-02-15,B01,Singanallur,SKU001,Rice 5kg,Grocery,43,340.0,0,,0,1,2,5,100,57,3854
2025-02-16,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,1,2,6,57,22,3996
2025-02-17,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,2,0,22,129,3908
2025-02-18,B01,Singanallur,SKU001,Rice 5kg,Grocery,35,340.0,0,,0,0,2,1,129,94,3472
2025-02-19,B01,Singanallur,SKU001,Rice 5kg,Grocery,30,340.0,0,,0,0,2,2,94,64,4268
2025-02-20,B01,Singanallur,SKU001,Rice 5kg,Grocery,32,340.0,0,,0,0,2,3,64,32,3934
2025-02-21,B01,Singanallur,SKU001,Rice 5kg,Grocery,33,340.0,0,,0,0,2,4,32,87,2817
2025-02-22,B01,Singanallur,SKU001,Rice 5kg,Grocery,37,340.0,0,,0,1,2,5,87,50,3183
2025-02-23,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,1,2,6,50,115,4498
2025-02-24,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,2,0,115,81,3995
2025-02-25,B01,Singanallur,SKU001,Rice 5kg,Grocery,34,340.0,0,,0,0,2,1,81,47,3636
2025-02-26,B01,Singanallur,SKU001,Rice 5kg,Grocery,38,340.0,0,,0,0,2,2,47,100,4136
